"isReserved","locID","OMSCHR","NAAM","TYPE","dataset","Sampler","GEBIED","SystemType","WVLC","vrijwillID","provincie","postcode","gemeente","SugbyINBO","Latitude","Longitude","VHAG","updateRes","CATC","startDate","restricties"
"ONHOLD","I_1730_1","Kobbegem; Sint-Goriksstraat, afw Torenhof","Grote Molenbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," ","ownlnda3 ","Vlaams-Brabant","1730","Asse","YES","50.9065872","4.2510468","6","ONHOLD",2,NA,""
"FALSE","I_1861_1","Wolvertem, Heidestr, opw. weg","Beek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant","1861","Meise","YES","50.9481571891498","4.30144559221856","349","FALSE",2,NA,""
"FALSE","I_1745_1","Mansteen","Stambeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant","1745","Opwijk","YES","50.9568960659935","4.20261541661415","615","FALSE",2,NA,""
"FALSE","I_2870_2","Ruisbroek, St. Katharinastr., afw Moerloop","Birrebeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2870","Puurs-Sint-Amands","YES","51.0746395645881","4.3388630416018","3106","FALSE",1,NA,""
"FALSE","I_1880_1","Hogerhei, Bosbeekstr einde wegje naast Taverne De Nachtegaal, opw weg","Landbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant","1880","Kapelle-op-den-Bos","YES","50.9972015927551","4.34966622919388","3171","FALSE",2,NA,""
"FALSE","I_2440_1","Amocolaan, langs E313, opw brug en lozing Amoco","Grote Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2440","Geel","YES","51.1165612108819","4.98530232658815","8501","FALSE",1,NA,""
"FALSE","I_2440_2","Stelen, Kemeldijk-Wilders, 300m opw duiker onder Albertkanaal","Grote Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2440","Geel","YES","51.1275503689447","4.98786169836811","8501","FALSE",1,NA,""
"FALSE","I_2440_3","zijwegje Zandstraat, afw Tombroekloop","Grote Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2440","Geel","YES","51.14953785217","5.02598427196293","8501","FALSE",1,NA,""
"FALSE","I_2840_2","A. Stocletlaan, opw. weg (op grens met Rumst - Lage Vosbergstraat)","Duffelse en Rumstse Scheibeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen","2840","Rumst","YES","51.0881466016566","4.4684930796194","9278","FALSE",2,NA,"bij voorkeur tussen 20/07 - 01/09"
"FALSE","I_8300_1","Westkapelle, Hazegrasstraat, net voorbij splitsing","Isabellavaart","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","West-Vlaanderen","8300","Knokke-Heist","YES","51.3283796838953","3.34234585348098","2125","FALSE",1,NA,""
