"","OMSCHR","VHAG","NAAM","TYPE","dataset","Sampler","GEBIED","SystemType","WVLC","vrijwillID","provincie","postcode","gemeente","locID","SugbyINBO","isReserved","Latitude","Longitude","updateRes"
"54","Leuven, Tervuursesvest, afw. brug ring",6551,"Dijle","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",3000,"Leuven","I_3000_2","YES","FALSE",50.8701172900656,4.69437879123281,"FALSE"
"55","Heverlee, opw brug voor kasteel van Arenberg",6551,"Dijle","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",3001,"Leuven","I_3001_1","YES","FALSE",50.8630093263427,4.68350568318255,"FALSE"
"56","Heverlee, Langestr, aanmeerplaats bootjes aan LO, opw Celestijnenln en effl IMEC",6551,"Dijle","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",3001,"Leuven","I_3001_2","YES","FALSE",50.8616406440586,4.68099659601534,"FALSE"
"57","Sint-Agatha-Rode, Vijverstraat, FC: afw brug (Pont des Brebis), BBI: afw brug en afw overstort",6551,"Dijle","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",3040,"Huldenberg","I_3040_1","YES","FALSE",50.7762847016576,4.63724241297336,"FALSE"
"58","Reet, Bontekoe, zijweg aan Pierstraat, afw. weg",3619,"Varenloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2840,"Rumst","I_2840_1","YES","FALSE",51.1130235592338,4.38893415500762,"FALSE"
"59","Ruisbroek; einde Donkstr - Vlietdijk opw. brug thv pompstation",6,"Grote Molenbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2870,"Puurs-Sint-Amands","I_2870_1","YES","FALSE",51.0950369879529,4.31745245245708,"FALSE"
"60","Steenhuffel, Lakeman, opw brug",6,"Grote Molenbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",1840,"Londerzeel","I_1840_1","YES","FALSE",50.9962825631777,4.27160580855575,"FALSE"
"61","Kobbegem; Sint-Goriksstraat, afw Torenhof",6,"Grote Molenbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",1730,"Asse","I_1730_1","YES","FALSE",50.906587194812,4.25104681664162,"FALSE"
"62","Wolvertem, Heidestr, opw. weg",349,"Beek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",1861,"Meise","I_1861_1","YES","FALSE",50.9481571891498,4.30144559221856,"FALSE"
"63","Mansteen",615,"Stambeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",1745,"Opwijk","I_1745_1","YES","FALSE",50.9568960659935,4.20261541661415,"FALSE"
"64","Ruisbroek, St. Katharinastr., afw Moerloop",3106,"Birrebeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2870,"Puurs-Sint-Amands","I_2870_2","YES","FALSE",51.0746395645881,4.3388630416018,"FALSE"
"65","Hogerhei, Bosbeekstr einde wegje naast Taverne De Nachtegaal, opw weg",3171,"Landbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",1880,"Kapelle-op-den-Bos","I_1880_1","YES","FALSE",50.9972015927551,4.34966622919388,"FALSE"
"66","Amocolaan, langs E313, opw brug en lozing Amoco",8501,"Grote Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2440,"Geel","I_2440_1","YES","FALSE",51.1165612108819,4.98530232658815,"FALSE"
